Site,Transect,Trap (distance from road (m)),Plant density (cm),Shannons,Simpsons
1,1,0,18.6,1.24245332,0.66666667
1,1,0,3.5,1.7478681,0.81632653
1,1,0,2.7,0.69314718,0.5
1,1,6,15.5,0.45056121,0.27777778
1,1,6,10.4,1.03972077,0.625
1,1,6,11.7,0,0
1,1,12,13.8,0,0
1,1,12,13.9,1.03972077,0.625
1,1,12,18,1.67698777,0.79012346
1,1,18,8.3,1.03972077,0.625
1,1,18,11.5,1.03972077,0.625
1,1,18,11.6,1.38629436,0.75
1,2,0,11.5,0.73562194,0.40625
1,2,0,13,1.32966135,0.72222222
1,2,0,1.5,0.69314718,0.5
1,2,6,11.5,0.63651417,0.44444444
1,2,6,11.5,0.63651417,0.44444444
1,2,6,14,1.73512646,0.81481481
1,2,12,19.5,1.09861229,0.66666667
1,2,12,34.5,1.05492017,0.64
1,2,12,22,1.52295507,0.7654321
1,2,18,15,1.21488965,0.66666667
1,2,18,21.5,1.41427907,0.7107438
1,2,18,9.5,1.60943791,0.8
1,3,0,10,1.01140426,0.61111111
1,3,0,31,0,1
1,3,0,4.5,1.73286795,0.8125
1,3,6,17,0.63651417,0.44444444
1,3,6,15.5,1.03972077,0.625
1,3,6,13,1.32088834,0.71875
1,3,12,17,0.90025605,0.53125
1,3,12,14.5,1.01140426,0.61111111
1,3,12,17.5,0.63651417,0.44444444
1,3,18,16.5,1.46481638,0.74074074
1,3,18,14,0.69314718,0.5
1,3,18,11,1.05492017,0.64
2,1,0,4.1,1.04375704,0.63111111
2,1,0,8,1.29454517,0.6446281
2,1,0,9.9,0.50913734,0.25510204
2,1,6,18.6,1.25119003,0.65887509
2,1,6,6.1,1.43275705,0.73469388
2,1,6,11.2,1.26767703,0.65432099
2,1,12,12.6,1.90787908,0.832
2,1,12,14.2,1.72839098,0.79818594
2,1,12,17,1.5941667,0.79338843
2,1,18,19.1,1.30240186,0.62130178
2,1,18,10.5,1.47913281,0.74556213
2,1,18,8.4,1.4770454,0.71972318
2,2,0,15,1.54982605,0.7755102
2,2,0,16,1.54982605,0.7755102
2,2,0,11,1.32966135,0.72222222
2,2,6,11.5,0,0
2,2,6,14,1.38629436,0.75
2,2,6,11.5,1.33217904,0.72
2,2,12,15,0.69314718,0.5
2,2,12,14.5,0.56233514,0.375
2,2,12,16,0,0
2,2,18,15.5,0.69314718,0.5
