"","Road.type","Site","Transect","Distance","Acari","Annelida","Araneae","Coleoptera","Collembola","Diptera","Gastropoda","Hemiptera","Hymenoptera","Isopoda","Larvea","Thysanoptera","Symphyla","unknown","Transect_id","abundance","Shannons","Simpsons"
"1","Small","1","1","0",0,0,0,0,3,1,0,0,1,0,1,0,0,0,"S1T1",6,1.31437384300695,0.666666666666667
"2","Small","1","1","6",1,1,1,0,2,1,1,0,0,0,0,0,0,0,"S1T1",7,1.56708122929332,0.704081632653061
"3","Small","1","1","12",0,1,0,1,0,0,0,0,0,0,0,0,0,0,"S1T1",2,1.03972077083992,0.625
"4","Small","1","1","18",0,0,0,0,5,1,0,0,0,0,0,0,0,0,"S1T1",6,0.918427784993098,0.569444444444444
"5","Small","1","2","0",0,0,2,0,1,1,0,0,0,0,0,0,0,0,"S1T2",4,1.2130075659799,0.65625
"6","Small","1","2","6",0,0,0,0,0,2,0,0,0,0,0,0,0,0,"S1T2",2,0.693147180559945,0.5
"7","Small","1","2","12",0,0,0,0,0,0,0,0,0,0,1,0,0,0,"S1T2",1,0.693147180559945,0.5
"8","Small","1","2","18",0,0,0,1,2,0,0,0,1,0,0,0,0,0,"S1T2",4,1.2130075659799,0.65625
"9","Small","1","3","0",1,0,1,1,3,2,0,1,0,0,0,0,0,0,"S1T3",9,1.53164106772115,0.697530864197531
"10","Small","1","3","6",1,0,0,0,2,0,0,1,0,0,0,0,0,0,"S1T3",4,1.2130075659799,0.65625
"11","Small","1","3","12",0,0,0,1,2,0,0,0,1,0,0,0,0,0,"S1T3",4,1.2130075659799,0.65625
"12","Small","1","3","18",1,0,1,1,0,0,0,1,0,0,0,0,0,0,"S1T3",4,1.38629436111989,0.6875
"13","Small","2","1","0",0,0,0,6,1,1,0,0,0,0,0,0,0,0,"S2T1",8,1.06095815043934,0.6015625
"14","Small","2","1","6",1,0,1,2,0,2,0,0,0,0,0,0,0,0,"S2T1",6,1.35797785498732,0.680555555555556
"15","Small","2","1","12",0,0,0,0,0,1,0,0,1,0,0,0,0,0,"S2T1",2,1.03972077083992,0.625
"16","Small","2","1","18",0,0,0,2,0,0,0,0,0,0,1,0,0,0,"S2T1",3,1.01140426470735,0.611111111111111
"17","Small","2","2","0",1,0,2,0,0,0,0,0,0,0,0,0,0,0,"S2T2",3,1.01140426470735,0.611111111111111
"18","Small","2","2","6",0,0,0,2,2,2,0,0,1,0,1,1,0,0,"S2T2",9,1.56071040904141,0.703703703703704
"19","Small","2","2","12",0,0,0,0,0,1,0,0,1,0,1,0,0,0,"S2T2",3,1.242453324894,0.666666666666667
"20","Small","2","2","18",0,0,0,2,0,1,0,0,2,0,0,0,0,0,"S2T2",5,1.22060726455302,0.66
"21","Small","2","3","0",1,0,2,3,1,2,0,0,0,0,0,0,0,0,"S2T3",9,1.4546247143256,0.691358024691358
"22","Small","2","3","6",0,0,0,1,1,3,0,0,4,0,0,0,0,0,"S2T3",9,1.30059200753451,0.666666666666667
"23","Small","2","3","12",0,0,1,1,2,5,0,0,2,0,0,0,0,0,"S2T3",11,1.4002867131223,0.677685950413223
"24","Small","2","3","18",0,0,1,1,1,1,0,0,1,0,0,0,0,0,"S2T3",5,1.497866136777,0.7
"25","Road","3","1","0",1,0,0,2,3,0,0,0,0,0,0,0,0,0,"S3T1",6,1.19884931291362,0.652777777777778
"26","Road","3","1","6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,"S3T1",0,0,1
"27","Road","3","1","12",0,0,0,1,1,0,0,2,2,1,1,0,0,0,"S3T1",8,1.55958115625988,0.703125
"28","Road","3","1","18",0,0,0,2,1,0,0,0,0,0,0,0,0,0,"S3T1",3,1.01140426470735,0.611111111111111
"29","Road","3","2","0",2,0,0,1,0,0,0,0,0,0,1,0,0,0,"S3T2",4,1.2130075659799,0.65625
"30","Road","3","2","6",0,0,2,3,2,0,0,0,1,0,0,0,0,0,"S3T2",8,1.35359135213461,0.6796875
"31","Road","3","2","12",1,0,2,5,0,0,0,0,0,0,0,0,0,0,"S3T2",8,1.14327520619421,0.6328125
"32","Road","3","2","18",0,0,3,2,1,0,0,0,0,0,0,0,0,0,"S3T2",6,1.19884931291362,0.652777777777778
